Date,Price
2021-06-09,392.8019714355469
2021-06-10,394.62786865234375
2021-06-11,395.280029296875
2021-06-14,396.1650695800781
2021-06-15,395.4382629394531
2021-06-16,393.2304992675781
2021-06-17,393.1000671386719
2021-06-18,387.7969970703125
2021-06-21,393.34869384765625
2021-06-22,395.4516296386719
2021-06-23,394.9749145507813
2021-06-24,397.31146240234375
2021-06-25,398.7227478027344
2021-06-28,399.5266418457031
2021-06-29,399.7416076660156
2021-06-30,400.0780334472656
2021-07-01,402.2931518554688
2021-07-02,405.36810302734375
2021-07-06,404.6296691894531
2021-07-07,406.0596008300781
2021-07-08,402.75103759765625
2021-07-09,407.0503845214844
2021-07-12,408.5083312988281
2021-07-13,407.1157836914063
2021-07-14,407.7232971191406
2021-07-15,406.3306884765625
2021-07-16,403.1435852050781
2021-07-19,397.1900329589844
2021-07-20,402.8818664550781
2021-07-21,406.1438598632813
2021-07-22,406.9943237304688
2021-07-23,411.1814575195313
2021-07-26,412.19085693359375
2021-07-27,410.3122253417969
2021-07-28,410.1440124511719
2021-07-29,411.8450317382813
2021-07-30,409.8449401855469
2021-08-02,408.9851379394531
2021-08-03,412.3123168945313
2021-08-04,410.2841796875
2021-08-05,412.8824462890625
2021-08-06,413.5647277832031
2021-08-09,413.2283020019531
2021-08-10,413.7423706054688
2021-08-11,414.7704162597656
2021-08-12,416.0134887695313
2021-08-13,416.7706298828125
2021-08-16,417.751953125
2021-08-17,415.0134582519531
2021-08-18,410.4710998535156
2021-08-19,411.1066589355469
2021-08-20,414.3778991699219
2021-08-23,418.0230102539063
2021-08-24,418.6865234375
2021-08-25,419.5650024414063
2021-08-26,417.08831787109375
2021-08-27,420.8175048828125
2021-08-30,422.6680603027344
2021-08-31,422.0418395996094
2021-09-01,422.2661743164063
2021-09-02,423.5652160644531
2021-09-03,423.4625244140625
2021-09-07,421.9484558105469
2021-09-08,421.4343566894531
2021-09-09,419.6304931640625
2021-09-10,416.3218688964844
2021-09-13,417.3873291015625
2021-09-14,415.1348876953125
2021-09-15,418.6023559570313
2021-09-16,417.9388427734375
2021-09-17,413.8675842285156
2021-09-20,406.966796875
2021-09-21,406.5823669433594
2021-09-22,410.5484619140625
2021-09-23,415.5366821289063
2021-09-24,416.22119140625
2021-09-27,415.0303649902344
2021-09-28,406.6667785644531
2021-09-29,407.3511047363281
2021-09-30,402.3724670410156
2021-10-01,407.1542663574219
2021-10-04,401.9035339355469
2021-10-05,406.08538818359375
2021-10-06,407.7731018066406
2021-10-07,411.2986145019531
2021-10-08,410.5484619140625
2021-10-11,407.576171875
2021-10-12,406.572998046875
2021-10-13,408.03558349609375
2021-10-14,414.8989868164063
2021-10-15,418.0588684082031
2021-10-18,419.2964782714844
2021-10-19,422.53131103515625
2021-10-20,424.1909484863281
2021-10-21,425.29730224609375
2021-10-22,424.856689453125
2021-10-25,427.1350402832031
2021-10-26,427.5195007324219
2021-10-27,425.6254577636719
2021-10-28,429.7322998046875
2021-10-29,430.604248046875
2021-11-01,431.344970703125
2021-11-02,433.0890197753906
2021-11-03,435.7331237792969
2021-11-04,437.7864990234375
2021-11-05,439.3053894042969
2021-11-08,439.6804809570313
2021-11-09,438.2270812988281
2021-11-10,434.7018127441406
2021-11-11,434.8423156738281
2021-11-12,438.1239929199219
2021-11-15,438.2740173339844
2021-11-16,440.0086364746094
2021-11-17,438.9397583007813
2021-11-18,440.4305725097656
2021-11-19,439.64300537109375
2021-11-22,438.4052429199219
2021-11-23,438.9866333007813
2021-11-24,440.15863037109375
2021-11-26,430.3418273925781
2021-11-29,435.6205749511719
2021-11-30,427.1444091796875
2021-12-01,422.4000854492188
2021-12-02,428.8696899414063
2021-12-03,425.1379699707031
2021-12-06,430.1729431152344
2021-12-07,439.0711059570313
2021-12-08,440.2336730957031
2021-12-09,437.2613220214844
2021-12-10,441.3775634765625
2021-12-13,437.46771240234375
2021-12-14,434.4578857421875
2021-12-15,441.2463684082031
2021-12-16,437.3551940917969
2021-12-17,432.7005004882813
2021-12-20,428.0993957519531
2021-12-21,435.7019348144531
2021-12-22,440.0585021972656
2021-12-23,442.7965393066406
2021-12-27,449.0630187988281
2021-12-28,448.6960754394531
2021-12-29,449.2700805664063
2021-12-30,448.0280151367188
2021-12-31,446.8989562988281
2022-01-03,449.4864501953125
2022-01-04,449.3359069824219
2022-01-05,440.7077331542969
2022-01-06,440.2937316894531
2022-01-07,438.5530090332031
2022-01-10,438.0072326660156
2022-01-11,441.9967346191406
2022-01-12,443.191650390625
2022-01-13,437.0851440429688
2022-01-14,437.2639465332031
2022-01-18,429.5201110839844
2022-01-19,425.0601806640625
2022-01-20,420.3556518554688
2022-01-21,412.1037902832031
2022-01-24,413.8539123535156
2022-01-25,408.8010864257813
2022-01-26,407.7755432128906
2022-01-27,405.761962890625
2022-01-28,415.8392028808594
2022-01-31,423.3289184570313
2022-02-01,426.1893310546875
2022-02-02,430.3292846679688
2022-02-03,420.2144470214844
2022-02-04,422.19049072265625
2022-02-07,420.8355102539063
2022-02-08,424.298095703125
2022-02-09,430.5081176757813
2022-02-10,422.7738037109375
2022-02-11,414.437255859375
2022-02-14,413.0823059082031
2022-02-15,419.7440185546875
2022-02-16,420.2144470214844
2022-02-17,411.2381286621094
2022-02-18,408.5752868652344
2022-02-22,404.1905517578125
2022-02-23,397.0208435058594
2022-02-24,402.9956665039063
2022-02-25,411.8873291015625
2022-02-28,410.8335266113281
2022-03-01,404.5763854980469
2022-03-02,412.01898193359375
2022-03-03,409.96783447265625
2022-03-04,406.636962890625
2022-03-07,394.6497192382813
2022-03-08,391.6575622558594
2022-03-09,402.15826416015625
2022-03-10,400.3421936035156
2022-03-11,395.25189208984375
2022-03-14,392.36322021484375
2022-03-15,400.991455078125
2022-03-16,409.8831787109375
2022-03-17,415.0111999511719
2022-03-18,419.5567321777344
2022-03-21,419.4340515136719
2022-03-22,424.3419494628906
2022-03-23,418.8771667480469
2022-03-24,425.1914978027344
2022-03-25,427.2678833007813
2022-03-28,430.3070983886719
2022-03-29,435.6303405761719
2022-03-30,432.9404296875
