date,price,sma,signal,trend_following,buy_and_hold
2021-11-08,439.6804809570313,394.3070443725586,1,107619.96356537024,107619.96356537024
2021-11-09,438.2270812988281,394.71635467529296,1,107264.21700613867,107264.21700613867
2021-11-10,434.7018127441406,395.1515872192383,1,106401.34205524747,106401.34205524747
2021-11-11,434.8423156738281,395.57257247924804,1,106435.73275674252,106435.73275674252
2021-11-12,438.1239929199219,396.0450650024414,1,107238.98421081931,107238.98421081931
2021-11-15,438.2740173339844,396.4897085571289,1,107275.70547245044,107275.70547245044
2021-11-16,440.0086364746094,396.9183265686035,1,107700.28572288029,107700.28572288029
2021-11-17,438.9397583007813,397.3402072143555,1,107438.65793837457,107438.65793837457
2021-11-18,440.4305725097656,397.74939224243167,1,107803.56240378183,107803.56240378183
2021-11-19,439.64300537109375,398.14758239746095,1,107610.79071970646,107610.79071970646
2021-11-22,438.4052429199219,398.52658416748045,1,107307.82537176163,107307.82537176163
2021-11-23,438.9866333007813,398.9097004699707,1,107450.1314651983,107450.1314651983
2021-11-24,440.15863037109375,399.2994657897949,1,107736.99951476739,107736.99951476739
2021-11-26,430.3418273925781,399.63722213745115,1,105334.15466576097,105334.15466576097
2021-11-29,435.6205749511719,399.99241119384766,1,106626.22616889,106626.22616889
2021-11-30,427.1444091796875,400.3067987060547,1,104551.52717493959,104551.52717493959
2021-12-01,422.4000854492188,400.5970462036133,1,103390.26582919143,103390.26582919143
2021-12-02,428.8696899414063,400.92739517211913,1,104973.82168369755,104973.82168369755
2021-12-03,425.1379699707031,401.24228912353516,1,104060.4139144714,104060.4139144714
2021-12-06,430.1729431152344,401.5962866210937,1,105292.81710232186,105292.81710232186
2021-12-07,439.0711059570313,401.9925924682617,1,107470.80771666188,107470.80771666188
2021-12-08,440.2336730957031,402.37488662719727,1,107755.36761532698,107755.36761532698
2021-12-09,437.2613220214844,402.7861460876465,1,107027.82948669631,107027.82948669631
2021-12-10,441.3775634765625,403.22713348388675,1,108035.35603064827,108035.35603064827
2021-12-13,437.46771240234375,403.6057650756836,1,107078.3473655432,107078.3473655432
2021-12-14,434.4578857421875,403.9834616088867,1,106341.63639124877,106341.63639124877
2021-12-15,441.2463684082031,404.418871307373,1,108003.2436010811,108003.2436010811
2021-12-16,437.3551940917969,404.85673889160154,1,107050.80641931985,107050.80641931985
2021-12-17,432.7005004882813,405.2391586303711,1,105911.48371177564,105911.48371177564
2021-12-20,428.0993957519531,405.6074403381348,1,104785.27787474082,104785.27787474082
2021-12-21,435.7019348144531,405.9884323120117,1,106646.14050646294,106646.14050646294
2021-12-22,440.0585021972656,406.3800178527832,1,107712.49128461855,107712.49128461855
2021-12-23,442.7965393066406,406.76695526123046,1,108382.67671861866,108382.67671861866
2021-12-27,449.0630187988281,407.18276443481443,1,109916.51395688867,109916.51395688867
2021-12-28,448.6960754394531,407.585828704834,1,109826.69775472174,109826.69775472174
2021-12-29,449.2700805664063,407.9940841674805,1,109967.19617010414,109967.19617010414
2021-12-30,448.0280151367188,408.3898617553711,1,109663.17758825165,109663.17758825165
2021-12-31,446.8989562988281,408.80682846069334,1,109386.81946852691,109386.81946852691
2022-01-03,449.4864501953125,409.2400959777832,1,110020.15665524747,110020.15665524747
2022-01-04,449.3359069824219,409.6581248474121,1,109983.30840796791,109983.30840796791
2022-01-05,440.7077331542969,410.04740585327147,1,107871.40261902468,107871.40261902468
2022-01-06,440.2937316894531,410.44383911132815,1,107770.06807156987,107770.06807156987
2022-01-07,438.5530090332031,410.82141479492185,1,107343.99387233485,107343.99387233485
2022-01-10,438.0072326660156,411.16700958251954,1,107210.40497017637,107210.40497017637
2022-01-11,441.9967346191406,411.53348358154295,1,108186.90966718894,108186.90966718894
2022-01-12,443.191650390625,411.910823059082,1,108479.38749452148,108479.38749452148
